playerID,AB,H,AVE
andresh01,1704,375,0.2200704225
andrest01,149,32,0.2147651007
andrewa01,142,28,0.1971830986
andrima01,3,0,0
andrubi01,9,0,0
andruel01,5663,1558,0.2751191948
andrufr01,41,12,0.2926829268
andruwi01,4,0,0
andujjo01,607,77,0.1268533773
andujmi01,580,174,0.3
angelno01,2,0,0
anglema01,79,14,0.1772151899
angleto01,16,4,0.25
ankenpa01,29,7,0.2413793103
ankieri01,1921,462,0.2404997397
annade01,23,3,0.1304347826
annisbi01,96,17,0.1770833333
ansonca01,10281,3435,0.3341114678
anthoer01,1999,462,0.2311155578
antoljo01,6,2,0.3333333333
antonbi01,43,7,0.1627906977
antonjo01,528,133,0.2518939394
antonjo02,679,121,0.1782032401
antonma01,57,11,0.1929824561
aokino01,2716,774,0.2849779087
aparilu01,10230,2677,0.2616813294
apodabo01,58,10,0.1724137931
appieke01,83,8,0.09638554217
appleed01,56,9,0.1607142857
applefr01,7,2,0.2857142857
applepe01,374,87,0.2326203209
applilu01,8856,2749,0.3104110208
aquinar01,1,0,0
aquingr01,2,0,0
aquinja01,2,0,0
aquinlu01,35,4,0.1142857143
aragoan01,76,9,0.1184210526
araujel01,1,0,0
archdma01,384,128,0.3333333333
archech01,45,4,0.08888888889
archefr01,15,4,0.2666666667
archeji01,2646,660,0.2494331066
archeji02,64,5,0.078125
archige01,421,115,0.2731591449
arciafr01,103,21,0.2038834951
arciajo01,615,132,0.2146341463
arciaor01,1055,266,0.2521327014
arciaos01,983,231,0.2349949135
ardelda01,4,1,0.25
ardnejo01,415,88,0.2120481928
ardoida01,423,87,0.2056737589
arellfr01,142,24,0.1690140845
arenano01,3348,975,0.291218638
arencjp01,1573,333,0.2116973935
arftha01,906,229,0.2527593819
ariasal01,1773,470,0.2650874224
ariasal02,6,0,0
ariasge01,480,114,0.2375
ariasjo01,1052,279,0.2652091255
ariasru01,4,0,0
arletbu01,418,131,0.3133971292
arlicdo01,3,0,0
arlinst01,230,32,0.1391304348
armasma01,31,6,0.1935483871
armasto01,5164,1302,0.2521301317
armasto02,268,26,0.09701492537
armbrch01,355,53,0.1492957746
armbred01,265,65,0.2452830189
armbrha01,265,63,0.2377358491
armbror01,4,0,0
armstbo01,49,11,0.2244897959
armstge01,6,1,0.1666666667
armstho01,1,0,0
armstja01,185,21,0.1135135135
armstmi01,3,0,0
arndtha01,985,244,0.247715736
arndtla01,6,1,0.1666666667
arnolbi01,7,1,0.1428571429
arnolch01,435,103,0.2367816092
arnolja01,19,3,0.1578947368
arnovmo01,2013,577,0.2866368604
arntzor01,50,8,0.16
arochre01,69,7,0.1014492754
arredjo01,2,1,0.5
arrieja01,314,53,0.1687898089
arrigge01,179,27,0.1508379888
arrojro01,37,3,0.08108108108
arroybr01,629,81,0.1287758347
arroych01,178,38,0.2134831461
arroylu01,128,29,0.2265625
arroyru01,1,0,0
